VTA,23,De Anza College,5:24A,-122.045055,37.31954
VTA,23,De Anza College,5:54A,-122.045055,37.31954
VTA,23,De Anza College,6:11A,-122.045055,37.31954
VTA,23,De Anza College,6:26A,-122.045055,37.31954
VTA,23,De Anza College,6:37A,-122.045055,37.31954
VTA,23,De Anza College,6:47A,-122.045055,37.31954
VTA,23,De Anza College,6:56A,-122.045055,37.31954
VTA,23,De Anza College,7:07A,-122.045055,37.31954
VTA,23,De Anza College,7:18A,-122.045055,37.31954
VTA,23,De Anza College,7:30A,-122.045055,37.31954
VTA,23,De Anza College,7:41A,-122.045055,37.31954
VTA,23,De Anza College,7:53A,-122.045055,37.31954
VTA,23,De Anza College,8:05A,-122.045055,37.31954
VTA,23,De Anza College,8:15A,-122.045055,37.31954
VTA,23,De Anza College,8:27A,-122.045055,37.31954
VTA,23,De Anza College,8:39A,-122.045055,37.31954
VTA,23,De Anza College,8:51A,-122.045055,37.31954
VTA,23,De Anza College,9:04A,-122.045055,37.31954
VTA,23,De Anza College,9:16A,-122.045055,37.31954
VTA,23,De Anza College,9:28A,-122.045055,37.31954
VTA,23,De Anza College,5:25P,-122.045055,37.31954
VTA,23,De Anza College,5:39P,-122.045055,37.31954
VTA,23,De Anza College,5:52P,-122.045055,37.31954
VTA,23,De Anza College,6:07P,-122.045055,37.31954
VTA,23,De Anza College,6:19P,-122.045055,37.31954
VTA,23,De Anza College,6:33P,-122.045055,37.31954
VTA,23,De Anza College,6:49P,-122.045055,37.31954
VTA,23,De Anza College,7:06P,-122.045055,37.31954
VTA,23,De Anza College,7:19P,-122.045055,37.31954
VTA,23,De Anza College,7:37P,-122.045055,37.31954
VTA,23,De Anza College,7:57P,-122.045055,37.31954
VTA,23,De Anza College,8:17P,-122.045055,37.31954
VTA,23,De Anza College,8:38P,-122.045055,37.31954
VTA,23,De Anza College,8:58P,-122.045055,37.31954
VTA,23,De Anza College,9:19P,-122.045055,37.31954
VTA,23,De Anza College,9:43P,-122.045055,37.31954
VTA,23,De Anza College,10:13P,-122.045055,37.31954
VTA,23,De Anza College,11:19P,-122.045055,37.31954
